trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000002_001.trj,1313.20,198.01,241.98,0.00,1.90,3.20,2.80,2.80,-2.11,-2.11,1.46,-8.36,6:17,rear end,1.34,261.60,693,4,2,4.75,2.03,269.96,0.00,1.34,198.01,241.99,198.01,234.97,702,4,2,4.32,2.06,261.60,2.80,1.46,198.02,251.65,197.26,246.54,0.00,99.00,99.00,
S000002_001.trj,1349.90,219.13,197.88,0.00,2.10,2.20,10.20,10.20,-2.90,-2.90,5.10,0.00,5:59,rear end,5.10,179.99,705,2,2,4.41,2.05,179.99,0.00,5.10,220.15,197.88,207.72,197.89,722,2,2,4.41,2.05,179.99,10.20,5.10,246.82,197.88,223.32,197.88,0.00,99.00,99.00,
S000002_001.trj,1352.70,194.72,266.68,0.00,2.90,1.40,15.09,1.23,0.00,0.00,0.65,-1.69,6:03,rear end,14.48,270.80,726,4,1,4.75,2.03,271.65,15.09,0.65,194.73,269.68,195.35,247.93,728,4,1,4.99,2.12,269.96,13.93,0.59,194.74,293.33,194.73,271.04,0.00,99.00,0.05,
S000002_001.trj,1380.30,194.73,267.56,0.00,1.80,2.70,14.86,1.84,-0.54,-3.07,0.93,0.00,6:00,rear end,13.93,269.96,740,4,1,4.75,2.03,269.96,13.02,0.91,194.73,267.56,194.71,236.45,742,4,1,4.50,2.11,269.96,14.86,0.93,194.75,310.09,194.71,246.20,0.00,99.00,0.10,
S000002_001.trj,1402.50,138.61,188.54,0.00,1.80,2.60,13.56,0.84,-0.53,-3.07,0.46,0.00,5:59,rear end,13.10,359.99,753,1,1,4.99,2.12,359.99,12.73,0.38,138.61,188.54,169.06,188.53,755,1,1,4.14,2.08,359.99,13.56,0.46,99.43,188.55,159.57,188.54,0.00,99.00,0.06,
S000002_001.trj,1415.60,194.69,214.65,0.00,2.90,1.90,13.56,5.72,-0.04,-6.74,3.50,8.67,5:43,rear end,10.16,267.45,760,4,1,4.99,2.12,262.97,8.06,2.22,194.69,216.21,193.34,205.25,762,4,1,3.56,1.88,271.64,13.56,3.50,194.71,245.54,195.48,218.59,0.00,99.00,99.00,
S000002_001.trj,1444.30,164.25,188.54,0.00,2.20,2.70,7.41,6.68,-2.77,-3.50,3.39,0.00,6:00,rear end,4.12,359.99,755,1,1,4.14,2.08,359.99,0.73,3.39,163.38,188.54,176.37,188.53,769,1,1,4.32,2.06,359.99,7.41,3.29,144.67,188.54,160.13,188.54,0.50,0.30,99.00,
S000002_001.trj,1444.40,163.13,191.84,0.00,2.00,3.70,2.04,2.04,-1.86,-1.86,1.02,0.00,6:00,rear end,1.02,359.99,758,1,2,4.32,2.06,359.99,0.00,1.02,163.12,191.84,174.94,191.83,768,1,2,4.32,2.06,359.99,2.04,1.02,154.77,191.84,158.85,191.84,1.00,0.40,99.00,
S000002_001.trj,1442.60,137.30,191.84,0.00,1.60,2.90,13.55,2.69,-0.54,-3.11,1.37,0.00,6:00,rear end,12.18,359.99,768,1,2,4.32,2.06,359.99,10.85,1.33,133.19,191.84,159.69,191.84,770,1,2,4.14,2.08,359.99,13.55,1.37,91.62,191.85,152.05,191.84,0.00,1.60,0.18,
S000002_001.trj,1454.80,207.03,128.35,0.00,3.00,1.60,13.38,1.53,0.00,0.00,0.94,0.00,5:59,rear end,12.45,89.99,773,3,1,3.56,1.88,89.99,13.38,0.94,207.03,128.35,207.04,156.19,774,3,1,4.99,2.12,89.99,11.85,0.59,207.03,105.30,207.03,133.75,0.00,99.00,0.14,
