trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000001_001.trj,1443.30,139.12,191.84,0.00,2.10,3.60,13.84,4.71,-0.26,-2.95,2.56,0.00,6:00,rear end,11.69,359.99,768,1,2,4.32,2.06,359.99,9.13,2.56,139.12,191.84,160.51,191.84,770,1,2,4.99,2.12,359.99,13.84,2.15,93.25,191.85,151.27,191.84,0.00,99.00,0.36,
S000001_001.trj,1444.70,143.57,188.54,0.00,2.90,3.70,12.22,5.45,-1.13,-1.97,2.86,0.00,6:00,rear end,9.36,359.99,769,1,1,4.32,2.06,359.99,6.78,2.59,143.57,188.54,161.40,188.54,771,1,1,4.20,1.91,359.99,12.22,2.86,104.62,188.55,149.31,188.54,0.25,0.70,99.00,
S000001_001.trj,1445.40,161.23,188.54,0.00,2.10,2.90,3.97,3.58,-2.92,-3.87,1.85,0.00,5:59,rear end,2.12,359.99,755,1,1,4.50,2.11,359.99,0.39,1.73,161.15,188.54,188.70,188.53,769,1,1,4.32,2.06,359.99,3.97,1.85,149.50,188.54,163.67,188.54,1.00,0.30,99.00,
S000001_001.trj,1470.20,207.03,139.29,0.00,1.80,2.70,14.27,1.08,-0.54,-3.10,0.54,1.63,5:57,lane change,13.76,90.82,782,3,1,4.75,2.03,89.97,13.26,0.54,207.02,125.65,207.04,155.36,784,3,1,4.75,2.03,91.60,14.27,0.54,207.02,82.94,205.30,144.54,0.00,99.00,0.05,
S000001_001.trj,1494.10,259.03,201.18,0.00,2.10,2.20,14.15,0.03,-0.53,-3.04,0.02,0.00,6:00,rear end,14.14,179.99,790,2,1,4.59,2.04,179.99,14.12,0.02,259.03,201.18,221.90,201.18,792,2,1,4.75,2.03,179.99,14.15,0.02,294.46,201.17,238.38,201.18,0.00,99.00,0.01,
S000001_001.trj,1494.90,270.40,201.17,0.00,2.80,1.30,14.15,2.02,-0.54,-0.54,1.05,0.00,6:00,rear end,13.18,179.99,792,2,1,4.75,2.03,179.99,14.15,0.97,270.40,201.17,242.50,201.18,794,2,1,4.32,2.06,179.99,12.13,1.05,290.53,201.17,262.64,201.18,0.00,99.00,0.52,
S000001_001.trj,1495.60,238.41,197.88,0.00,2.50,3.50,15.91,6.17,-0.56,-3.16,3.14,0.00,6:00,rear end,12.77,179.99,789,2,2,4.75,2.03,179.99,9.74,3.04,238.41,197.88,220.19,197.88,795,2,2,4.59,2.04,179.99,15.91,3.14,290.78,197.87,230.98,197.88,0.00,99.00,0.16,
S000001_001.trj,1504.80,286.40,201.17,0.00,2.40,2.10,15.66,0.41,-0.53,-3.00,0.20,0.00,6:00,rear end,15.46,179.99,797,2,1,4.59,2.04,179.99,15.25,0.20,286.40,201.17,246.87,201.18,799,2,1,4.59,2.04,179.99,15.66,0.20,322.64,201.17,268.25,201.17,0.00,99.00,0.09,
S000001_001.trj,1506.30,261.47,201.18,0.00,1.80,3.30,13.27,2.03,-3.18,-3.32,1.03,-1.96,6:04,rear end,12.26,178.95,797,2,1,4.59,2.04,179.99,11.29,1.00,264.73,201.18,240.58,201.18,798,2,1,4.41,2.05,178.03,13.27,1.03,306.27,199.41,254.95,201.18,0.25,99.00,0.21,
S000001_001.trj,1508.40,262.63,201.18,0.00,2.80,4.20,15.41,6.89,-0.15,-3.16,3.53,0.23,5:59,rear end,11.88,180.14,799,2,1,4.59,2.04,179.99,8.52,3.36,262.63,201.18,247.61,201.18,803,2,1,4.32,2.06,180.22,15.41,3.53,313.69,201.17,263.11,200.97,0.00,99.00,0.27,
S000001_001.trj,1509.10,278.25,201.16,0.00,1.50,2.80,15.41,4.99,-0.15,-3.16,2.52,0.78,5:58,rear end,12.60,180.43,798,2,1,4.41,2.05,179.96,10.13,2.47,279.26,201.16,253.91,201.18,803,2,1,4.32,2.06,180.74,15.12,2.52,322.88,201.17,260.68,200.36,0.00,0.90,0.26,
S000001_001.trj,1515.10,255.60,199.05,0.00,2.30,1.40,14.73,11.37,-0.70,-3.10,5.69,-10.94,6:22,lane change,9.06,182.05,803,2,1,4.32,2.06,190.93,3.44,5.69,263.81,201.11,247.47,197.96,804,2,2,4.32,2.06,179.99,14.73,5.69,301.70,197.87,260.09,197.88,0.00,99.00,0.09,
S000001_001.trj,1516.50,277.87,197.87,0.00,1.70,2.70,15.65,3.92,-0.51,-2.87,2.04,2.98,5:54,lane change,13.80,181.75,804,2,2,4.32,2.06,179.99,11.80,2.04,277.87,197.87,246.90,197.88,808,2,1,4.75,2.03,182.97,15.65,1.88,320.33,201.17,257.41,197.90,0.00,99.00,0.25,
S000001_001.trj,1540.60,253.77,201.18,0.00,2.80,4.00,1.58,1.26,-0.76,-0.76,0.63,-1.86,6:04,rear end,0.94,178.45,798,2,1,4.41,2.05,179.99,0.32,0.62,253.80,201.18,244.17,201.18,813,2,1,4.32,2.06,178.13,1.58,0.63,261.61,201.02,258.15,201.13,1.00,0.50,99.00,
S000001_001.trj,1544.00,258.31,201.13,0.00,2.40,3.10,4.49,3.87,-1.91,-4.76,1.93,0.25,5:59,rear end,2.56,179.96,813,2,1,4.32,2.06,179.74,0.62,1.93,258.62,201.13,247.28,201.18,814,2,1,4.32,2.06,179.99,4.49,1.93,271.96,201.17,262.51,201.18,0.00,0.30,1.55,
S000001_001.trj,1563.50,194.71,239.03,0.00,2.50,3.60,16.11,6.92,-0.55,-3.08,3.49,-0.75,6:01,rear end,12.68,269.49,823,4,1,4.50,2.11,269.96,9.19,3.49,194.71,239.94,194.70,222.97,827,4,1,4.75,2.03,269.22,16.11,3.43,195.51,292.58,194.71,234.02,0.00,99.00,0.37,
S000001_001.trj,1566.90,194.71,244.47,0.00,2.20,3.20,14.76,4.82,-0.53,-3.01,2.43,2.01,5:56,lane change,12.33,271.16,827,4,1,4.75,2.03,269.97,9.96,2.39,194.71,249.08,194.70,229.85,828,4,1,4.50,2.11,271.98,14.76,2.43,194.74,297.49,196.75,239.25,0.00,1.00,0.36,
S000001_001.trj,1574.00,197.99,216.29,0.00,2.00,3.70,1.81,1.81,-1.68,-1.68,0.90,0.18,5:59,rear end,0.90,270.14,820,4,2,4.50,2.11,269.96,0.00,0.90,197.99,216.29,197.99,205.19,828,4,2,4.50,2.11,270.14,1.81,0.90,197.98,224.35,197.99,220.67,1.00,0.40,99.00,
S000001_001.trj,1578.70,207.04,162.18,0.00,1.90,2.40,4.03,3.52,-3.16,-4.75,1.90,0.00,6:00,rear end,2.41,89.99,825,3,1,4.41,2.05,89.99,0.51,1.90,207.04,161.99,207.04,169.09,832,3,1,4.99,2.12,89.99,4.03,1.62,207.03,150.70,207.04,157.49,1.00,0.30,99.00,
S000001_001.trj,1598.30,256.36,201.17,0.00,2.10,3.10,15.00,4.98,-0.53,-2.98,2.83,0.01,5:59,rear end,12.86,179.99,846,2,1,4.20,1.91,179.98,10.03,2.83,256.36,201.17,233.87,201.18,851,2,1,4.99,2.12,179.99,15.00,2.15,301.96,201.17,242.23,201.18,0.00,0.90,99.00,
